Event Type	Code	Type	Response	RT	RT Uncertainty	Time	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur

Picture	fixation	other				401797	1	4166	1	0	4000
Picture	green_left	hit	2	5332	1	405964	1	5500	1	4000	resp
Picture	jitter	other				421962	1	6166	1	0	50000
Picture	fixation	other				428128	1	4166	1	0	4000
Picture	green_right	hit	2	4442	1	432295	1	4500	1	4000	resp
Picture	jitter	other				448293	1	8166	1	0	50000
Picture	fixation	other				456459	1	4166	1	0	4000
Picture	red_left	hit	1	3389	1	460625	1	3500	1	4000	resp
Picture	jitter	other				476624	1	3166	1	0	50000
Picture	fixation	other				479791	1	4166	1	0	4000
Picture	green_left	hit	2	4538	1	483957	1	4666	1	4000	resp
Picture	jitter	other				499955	1	9166	1	0	50000
Picture	fixation	other				509121	1	4166	1	0	4000
Picture	red_left	hit	1	4246	1	513287	1	4333	1	4000	resp
Picture	jitter	other				529286	1	8166	1	0	50000
Picture	fixation	other				537452	1	4166	1	0	4000
Picture	red_right	hit	1	5594	1	541618	1	5666	1	4000	resp
Picture	jitter	other				557617	1	2166	1	0	50000
Picture	fixation	other				559783	1	4166	1	0	4000
Picture	red_left	hit	1	4143	1	563950	1	4166	1	4000	resp
Picture	jitter	other				579948	1	3166	1	0	50000
Picture	fixation	other				583115	1	4166	1	0	4000
Picture	green_left	hit	2	4331	1	587281	1	4500	1	4000	resp
Picture	jitter	other				603280	1	5166	1	0	50000
Picture	fixation	other				608446	1	4166	1	0	4000
Picture	red_right	hit	1	3880	1	612612	1	4000	1	4000	resp
Picture	jitter	other				628611	1	5166	1	0	50000
Picture	fixation	other				633777	1	4166	1	0	4000
Picture	green_right	hit	2	3829	1	637943	1	4000	1	4000	resp
Picture	jitter	other				653942	1	4166	1	0	50000
Picture	fixation	other				658108	1	4166	1	0	4000
Picture	green_right	hit	2	4616	1	662274	1	4666	1	4000	resp
Picture	jitter	other				678273	1	6166	1	0	50000
Picture	fixation	other				684439	1	4166	1	0	4000
Picture	red_left	hit	1	4204	1	688605	1	4333	1	4000	resp
Picture	jitter	other				704604	1	4166	1	0	50000
Picture	fixation	other				708770	1	4166	1	0	4000
Picture	red_right	hit	1	4593	1	712936	1	4666	1	4000	resp
Picture	jitter	other				728935	1	7166	1	0	50000
Picture	fixation	other				736101	1	4166	1	0	4000
Picture	green_right	hit	2	4941	1	740267	1	5000	1	4000	resp
Picture	jitter	other				756266	1	2167	1	0	50000
Picture	fixation	other				758432	1	4166	1	0	4000
Picture	green_left	hit	2	5010	1	762599	1	5166	1	4000	resp
Picture	jitter	other				778597	1	7166	1	0	50000
Picture	fixation	other				785763	1	4166	1	0	4000
Picture	red_right	hit	1	4397	1	789930	1	4500	1	4000	resp
Picture	jitter	other				805928	1	9166	1	0	50000
Picture	fixation	other				815094	1	4166	1	0	4000
Picture	red_left	incorrect	2	6346	1	819260	1	6499	1	4000	resp
Picture	jitter	other				835259	1	9166	1	0	50000
Picture	fixation	other				844425	1	4166	1	0	4000
Picture	red_right	hit	1	4055	1	848591	1	4166	1	4000	resp
Picture	jitter	other				864590	1	6166	1	0	50000
Picture	fixation	other				870756	1	4166	1	0	4000
Picture	green_right	hit	2	5403	1	874922	1	5499	1	4000	resp
Picture	jitter	other				890921	1	4166	1	0	50000
Picture	fixation	other				895087	1	4166	1	0	4000
Picture	red_right	hit	1	5312	1	899253	1	5333	1	4000	resp
Picture	jitter	other				915252	1	4166	1	0	50000
Picture	fixation	other				919418	1	4166	1	0	4000
Picture	green_right	hit	2	5540	1	923584	1	5666	1	4000	resp
Picture	jitter	other				939583	1	2166	1	0	50000
Picture	fixation	other				941749	1	4166	1	0	4000
Picture	green_right	hit	2	5048	1	945916	1	5166	1	4000	resp
Picture	jitter	other				961914	1	5166	1	0	50000
Picture	fixation	other				967081	1	4166	1	0	4000
Picture	green_right	hit	2	4437	1	971247	1	4500	1	4000	resp
Picture	jitter	other				987245	1	5166	1	0	50000
Picture	fixation	other				992412	1	4166	1	0	4000
Picture	green_left	hit	2	5429	1	996578	1	5500	1	4000	resp
Picture	jitter	other				1012576	1	1167	1	0	50000
Picture	fixation	other				1013743	1	4166	1	0	4000
Picture	red_left	hit	1	5132	1	1017909	1	5166	1	4000	resp
Picture	jitter	other				1033908	1	7166	1	0	50000
Picture	fixation	other				1041074	1	4166	1	0	4000
Picture	green_right	hit	2	4601	1	1045240	1	4666	1	4000	resp
Picture	jitter	other				1061239	1	10166	1	0	50000
Picture	fixation	other				1071405	1	4166	1	0	4000
Picture	green_right	hit	2	5070	1	1075571	1	5166	1	4000	resp
Picture	jitter	other				1091569	1	2166	1	0	50000
Picture	fixation	other				1093736	1	4166	1	0	4000
Picture	red_left	hit	1	4578	1	1097902	1	4666	1	4000	resp
Picture	jitter	other				1113901	1	3166	1	0	50000
Picture	fixation	other				1117067	1	4166	1	0	4000
Picture	red_left	hit	1	6206	1	1121234	1	6333	1	4000	resp
Picture	jitter	other				1137232	1	3166	1	0	50000
Picture	fixation	other				1140398	1	4166	1	0	4000
Picture	green_left	hit	2	5115	1	1144565	1	5166	1	4000	resp
Picture	jitter	other				1160563	1	1167	1	0	50000
Picture	fixation	other				1161730	1	4166	1	0	4000
Picture	green_right	hit	2	4662	1	1165896	1	4833	1	4000	resp
Picture	jitter	other				1181895	1	7166	1	0	50000
Picture	fixation	other				1189061	1	4166	1	0	4000
Picture	green_right	hit	2	4611	1	1193227	1	4666	1	4000	resp
Picture	jitter	other				1209226	1	10166	1	0	50000
Picture	fixation	other				1219391	1	4166	1	0	4000
Picture	red_left	hit	1	4360	1	1223558	1	4500	1	4000	resp
Picture	jitter	other				1239556	1	8166	1	0	50000
Picture	fixation	other				1247722	1	4166	1	0	4000
Picture	red_left	hit	1	4748	1	1251889	1	4833	1	4000	resp
Picture	jitter	other				1267887	1	5166	1	0	50000
Picture	fixation	other				1273053	1	4166	1	0	4000
Picture	red_left	hit	1	5016	1	1277220	1	5166	1	4000	resp
Picture	jitter	other				1293218	1	4166	1	0	50000
Picture	fixation	other				1297385	1	4166	1	0	4000
Picture	green_right	hit	2	4444	1	1301551	1	4500	1	4000	resp
Picture	jitter	other				1317549	1	3166	1	0	50000
Picture	fixation	other				1320716	1	4166	1	0	4000
Picture	red_right	hit	1	4872	1	1324882	1	5000	1	4000	resp
Picture	jitter	other				1340881	1	9166	1	0	50000
Picture	fixation	other				1350046	1	4166	1	0	4000
